Mach: 1.5
Beta    Exact Cone Angle        Cone Angle 1-Strip      Cone Angle 2-Strip      2-Strip Solution Msg:
42.00            7.0125          3.1767         23.1313         Not converged.
43.00           11.0130          8.1976         23.6255         Not converged.
44.00           13.2245         11.0433         111.4209                Converged.
45.00           14.9551         13.1786         24.4307         Not converged.
46.00           16.4097         14.9369         45.9482         Not converged.
47.00           17.7066         16.4577         22.8541         Not converged.
48.00           18.8836         17.8125         25.8038         Not converged.
49.00           19.9559         19.0428         25.8663         Not converged.
50.00           20.9692         20.1745         23.2374         Not converged.
51.00           21.9200         21.2246         24.4268         Not converged.
52.00           22.7969         22.2048         24.5088         Not converged.
53.00           23.6379         23.1233         25.5989         Not converged.
54.00           24.4295         23.9859         24.7642         Not converged.
55.00           25.1860         24.7968         25.0525         Not converged.
56.00           25.8941         25.5589         23.5310         Not converged.
57.00           26.5386         26.2744         23.0050         Not converged.
58.00           27.1246         26.9444         23.8676         Not converged.
59.00           27.6905         27.5699         23.2744         Not converged.
60.00           28.2171         28.1510         22.1443         Not converged.
61.00           28.6798         28.6876         21.0311         Not converged.
62.00           29.0922         29.1793         18.2874         Not converged.
63.00           29.4651         29.6252         15.9192         Not converged.
64.00           29.7864         30.0244          7.7511         Converged.
65.00           30.0505         30.3754         15.0707         Converged.
66.00           30.2580         30.6768         18.7397         Converged.
67.00           30.4144         30.9268         21.1844         Converged.
68.00           30.5188         31.1234         23.0874         Converged.
69.00           30.5617         31.2643         24.6841         Converged.
Mach: 2
Beta    Exact Cone Angle        Cone Angle 1-Strip      Cone Angle 2-Strip      2-Strip Solution Msg:
31.00            9.4467          7.1661         17.3663         Not converged.
32.00           11.7761         10.0731         17.5998         Not converged.
33.00           13.5738         12.2236         16.6600         Not converged.
34.00           15.1182         14.0111         18.3051         Not converged.
35.00           16.5275         15.5835         17.7874         Not converged.
36.00           17.8339         17.0123         17.5851         Not converged.
37.00           19.0651         18.3373         18.3586         Not converged.
38.00           20.2364         19.5829         15.8612         Not converged.
39.00           21.3558         20.7649         17.4955         Not converged.
40.00           22.4323         21.8941         17.4719         Not converged.
41.00           23.4714         22.9783         17.2180         Not converged.
42.00           24.4773         24.0230         15.8153         Not converged.
43.00           25.4531         25.0323         14.2731         Not converged.
44.00           26.3998         26.0094         11.9400         Not converged.
45.00           27.3189         26.9566          9.4588         Not converged.
46.00           28.2118         27.8756         12.1943         Converged.
47.00           29.0794         28.7677         15.6466         Converged.
48.00           29.9221         29.6337         17.9251         Converged.
49.00           30.7403         30.4743         19.7556         Converged.
50.00           31.5339         31.2897         21.3373         Converged.
51.00           32.3028         32.0800         22.7573         Converged.
52.00           33.0466         32.8451         24.0615         Converged.
53.00           33.7647         33.5846         25.2780         Converged.
54.00           34.4563         34.2981         26.4245         Converged.
55.00           35.1506         34.9847         27.5135         Converged.
56.00           35.7974         35.6437         28.5538         Converged.
57.00           36.4140         36.2739         29.5520         Converged.
58.00           36.9994         36.8741         30.5130         Converged.
59.00           37.5511         37.4428         31.4406         Converged.
60.00           38.0672         37.9784         32.3378         Converged.
61.00           38.5459         38.4790         33.2070         Converged.
62.00           38.9949         38.9424         34.0502         Converged.
63.00           39.4092         39.3663         34.8689         Converged.
64.00           39.7445         39.7481         35.6643         Converged.
65.00           40.0374         40.0847         36.4375         Converged.
66.00           40.2879         40.3731         37.1893         Converged.
67.00           40.4806         40.6095         37.9203         Converged.
68.00           40.6095         40.7899         38.6312         Converged.
69.00           40.6700         40.9100         39.3223         Converged.
Mach: 2.5
Beta    Exact Cone Angle        Cone Angle 1-Strip      Cone Angle 2-Strip      2-Strip Solution Msg:
24.00            6.5703          4.2829         13.8522         Not converged.
25.00            9.4047          7.9064         13.6505         Not converged.
26.00           11.3028         10.2172         13.4924         Not converged.
27.00           12.9305         12.0589         14.4545         Not converged.
28.00           14.3803         13.6563         13.8906         Not converged.
29.00           15.7207         15.1025         13.5804         Not converged.
30.00           16.9834         16.4451         14.5076         Not converged.
31.00           18.1869         17.7116         13.5142         Not converged.
32.00           19.3450         18.9189         13.2837         Not converged.
33.00           20.4639         20.0787         11.8046         Not converged.
34.00           21.5495         21.1990          9.0473         Not converged.
35.00           22.6065         22.2854          5.3196         Not converged.
36.00           23.6381         23.3423         10.8416         Converged.
37.00           24.6471         24.3730         13.6708         Converged.
38.00           25.6354         25.3799         15.7280         Converged.
39.00           26.6047         26.3650         17.4416         Converged.
40.00           27.5560         27.3296         18.9551         Converged.
41.00           28.4906         28.2751         20.3354         Converged.
42.00           29.4093         29.2022         21.6196         Converged.
43.00           30.3107         30.1116         22.8305         Converged.
44.00           31.1951         31.0037         23.9828         Converged.
45.00           32.0632         31.8788         25.0871         Converged.
46.00           32.9149         32.7371         26.1507         Converged.
47.00           33.7501         33.5785         27.1794         Converged.
48.00           34.5686         34.4030         28.1772         Converged.
49.00           35.3702         35.2102         29.1475         Converged.
50.00           36.1544         35.9998         30.0929         Converged.
51.00           36.9204         36.7713         31.0155         Converged.
52.00           37.6678         37.5241         31.9168         Converged.
53.00           38.3957         38.2575         32.7983         Converged.
54.00           39.1032         38.9706         33.6611         Converged.
55.00           39.7892         39.6624         34.5059         Converged.
56.00           40.4522         40.3319         35.3337         Converged.
57.00           41.0924         40.9776         36.1448         Converged.
58.00           41.7037         41.5982         36.9398         Converged.
59.00           42.2911         42.1920         37.7190         Converged.
60.00           42.8469         42.7572         38.4827         Converged.
61.00           43.3715         43.2916         39.2311         Converged.
62.00           43.8619         43.7930         39.9642         Converged.
63.00           44.3149         44.2587         40.6823         Converged.
64.00           44.7278         44.6858         41.3852         Converged.
65.00           45.0927         45.0710         42.0729         Converged.
66.00           45.4163         45.4106         42.7454         Converged.
67.00           45.6795         45.7005         43.4026         Converged.
68.00           45.8867         45.9359         44.0442         Converged.
69.00           46.0298         46.1116         44.6700         Converged.
70.00           46.1022         46.2218         45.2799         Converged.
Mach: 4
Beta    Exact Cone Angle        Cone Angle 1-Strip      Cone Angle 2-Strip      2-Strip Solution Msg:
15.00            5.1536          3.9386          8.6020         Not converged.
16.00            7.3447          6.6459          8.4225         Not converged.
17.00            8.9730          8.4848          9.4694         Not converged.
18.00           10.3905         10.0188          8.8355         Not converged.
19.00           11.6913         11.3949          7.1861         Not converged.
20.00           12.9180         12.6732          7.4414         Not converged.
21.00           14.0940         13.8844          3.4082         Not converged.
22.00           15.2342         15.0460          7.1783         Converged.
23.00           16.3357         16.1693          9.6679         Converged.
24.00           17.4130         17.2619         11.4833         Converged.
25.00           18.4679         18.3290         13.0161         Converged.
26.00           19.5034         19.3746         14.3899         Converged.
27.00           20.5221         20.4017         15.6606         Converged.
28.00           21.5259         21.4124         16.8584         Converged.
29.00           22.5162         22.4086         18.0015         Converged.
30.00           23.4941         23.3917         19.1016         Converged.
31.00           24.4608         24.3627         20.1670         Converged.
32.00           25.4169         25.3226         21.2033         Converged.
33.00           26.3631         26.2720         22.2151         Converged.
34.00           27.2998         27.2116         23.2054         Converged.
35.00           28.2275         28.1417         24.1769         Converged.
36.00           29.1464         29.0627         25.1316         Converged.
37.00           30.0567         29.9748         26.0710         Converged.
38.00           30.9586         30.8783         26.9964         Converged.
39.00           31.8520         31.7731         27.9090         Converged.
40.00           32.7371         32.6594         28.8094         Converged.
41.00           33.6138         33.5371         29.6985         Converged.
42.00           34.4819         34.4062         30.5768         Converged.
43.00           35.3413         35.2664         31.4447         Converged.
44.00           36.1918         36.1176         32.3026         Converged.
45.00           37.0331         36.9596         33.1509         Converged.
46.00           37.8649         37.7920         33.9897         Converged.
47.00           38.6869         38.6145         34.8192         Converged.
48.00           39.4986         39.4267         35.6396         Converged.
49.00           40.2995         40.2281         36.4508         Converged.
50.00           41.0891         41.0182         37.2530         Converged.
51.00           41.8667         41.7963         38.0462         Converged.
52.00           42.6316         42.5617         38.8302         Converged.
53.00           43.3830         43.3137         39.6051         Converged.
54.00           44.1200         44.0514         40.3707         Converged.
55.00           44.8415         44.7738         41.1269         Converged.
56.00           45.5465         45.4798         41.8736         Converged.
57.00           46.2333         46.1682         42.6105         Converged.
58.00           46.9069         46.8376         43.3375         Converged.
59.00           47.5775         47.4864         44.0543         Converged.
60.00           48.1757         48.1129         44.7607         Converged.
61.00           48.7733         48.7151         45.4564         Converged.
62.00           49.3453         49.2909         46.1410         Converged.
63.00           49.8885         49.8377         46.8143         Converged.
64.00           50.3999         50.3527         47.4758         Converged.
65.00           50.8760         50.8327         48.1252         Converged.
66.00           51.3104         51.2740         48.7622         Converged.
67.00           51.7010         51.6724         49.3861         Converged.
68.00           52.0427         52.0232         49.9966         Converged.
69.00           52.3284         52.3207         50.5932         Converged.
70.00           52.5510         52.5586         51.1753         Converged.
71.00           52.7035         52.7296         51.7425         Converged.
72.00           52.7765         52.8251         52.2940         Converged.
Mach: 10
Beta    Exact Cone Angle        Cone Angle 1-Strip      Cone Angle 2-Strip      2-Strip Solution Msg:
6.00             2.2569          1.7916          3.4588         Not converged.
7.00             4.0223          3.8600          4.1272         Not converged.
8.00             5.3307          5.2349          2.3558         Not converged.
9.00             6.5046          6.4366          3.7060         Converged.
10.00            7.6080          7.5553          5.4421         Converged.
11.00            8.6681          8.6246          6.7677         Converged.
12.00            9.6983          9.6610          7.9409         Converged.
13.00           10.7070         10.6737          9.0327         Converged.
14.00           11.6991         11.6686         10.0734         Converged.
15.00           12.6782         12.6497         11.0788         Converged.
16.00           13.6466         13.6196         12.0582         Converged.
17.00           14.6063         14.5803         13.0178         Converged.
18.00           15.5584         15.5332         13.9615         Converged.
19.00           16.5041         16.4795         14.8922         Converged.
20.00           17.4442         17.4198         15.8121         Converged.
21.00           18.3791         18.3549         16.7226         Converged.
22.00           19.3094         19.2853         17.6251         Converged.
23.00           20.2353         20.2113         18.5204         Converged.
24.00           21.1573         21.1332         19.4093         Converged.
25.00           22.0755         22.0513         20.2923         Converged.
26.00           22.9900         22.9656         21.1698         Converged.
27.00           23.9010         23.8763         22.0423         Converged.
28.00           24.8085         24.7836         22.9101         Converged.
29.00           25.7129         25.6873         23.7732         Converged.
30.00           26.6136         26.5876         24.6320         Converged.
31.00           27.5107         27.4844         25.4865         Converged.
32.00           28.4045         28.3778         26.3368         Converged.
33.00           29.2948         29.2675         27.1830         Converged.
34.00           30.1814         30.1536         28.0252         Converged.
35.00           31.0641         31.0359         28.8632         Converged.
36.00           31.9434         31.9144         29.6972         Converged.
37.00           32.8184         32.7889         30.5271         Converged.
38.00           33.6893         33.6591         31.3529         Converged.
39.00           34.5554         34.5250         32.1744         Converged.
40.00           35.4179         35.3864         32.9916         Converged.
41.00           36.2752         36.2429         33.8045         Converged.
42.00           37.1274         37.0944         34.6128         Converged.
43.00           37.9744         37.9406         35.4166         Converged.
44.00           38.8157         38.7812         36.2156         Converged.
45.00           39.6511         39.6157         37.0098         Converged.
46.00           40.4802         40.4440         37.7989         Converged.
47.00           41.3026         41.2655         38.5828         Converged.
48.00           42.1178         42.0798         39.3614         Converged.
49.00           42.9254         42.8864         40.1344         Converged.
50.00           43.7248         43.6849         40.9015         Converged.
51.00           44.5154         44.4745         41.6627         Converged.
52.00           45.2965         45.2546         42.4176         Converged.
53.00           46.0673         46.0246         43.1661         Converged.
54.00           46.8269         46.7836         43.9078         Converged.
55.00           47.5743         47.5307         44.6424         Converged.
56.00           48.3087         48.2649         45.3697         Converged.
57.00           49.0288         48.9852         46.0894         Converged.
58.00           49.7336         49.6903         46.8011         Converged.
59.00           50.4217         50.3787         47.5044         Converged.
60.00           51.0914         51.0491         48.1990         Converged.
61.00           51.7406         51.6996         48.8845         Converged.
62.00           52.3709         52.3283         49.5604         Converged.
63.00           52.9718         52.9328         50.2264         Converged.
64.00           53.5484         53.5108         50.8819         Converged.
65.00           54.0973         54.0591         51.5265         Converged.
66.00           54.6110         54.5746         52.1597         Converged.
67.00           55.0929         55.0534         52.7808         Converged.
68.00           55.5179         55.4909         53.3894         Converged.
69.00           55.9040         55.8820         53.9847         Converged.
70.00           56.2369         56.2207         54.5661         Converged.
71.00           56.5076         56.4999         55.1331         Converged.
72.00           56.7080         56.7111         55.6847         Converged.
73.00           56.8281         56.8444         56.2203         Converged.
74.00           56.8548         56.8880         56.7390         Converged.
Mach: 15
Beta    Exact Cone Angle        Cone Angle 1-Strip      Cone Angle 2-Strip      2-Strip Solution Msg:
4.00             1.5250          1.2086          2.3156         Not converged.
5.00             3.1452          3.0640          2.2937         Not converged.
6.00             4.3487          4.3039          2.4891         Converged.
7.00             5.4433          5.4124          4.1048         Converged.
